Year,Apartment (1 bedroom) in City Centre,% Change,Price Per m2 (35m2),Price Per m2 (50m2),Price Per m2 (42.5m2)
2010,530,N/A,15.14285714,10.6,12.87142857
2011,600,13.21%,17.14285714,12,14.57142857
2012,600,0.00%,17.14285714,12,14.57142857
2013,599,-0.17%,17.11428571,11.98,14.54714286
2014,648.85,8.34%,18.53857143,12.977,15.75778571
2015,684.11,5.42%,19.546,13.6822,16.6141
2016,704.96,3.05%,20.14171429,14.0992,17.12045714
2017,778.59,10.47%,22.24542857,15.5718,18.90861429
2018,861.52,10.69%,24.61485714,17.2304,20.92262857
2019,905.53,5.09%,25.87228571,18.1106,21.99144286
2020,889.28,-1.80%,25.408,17.7856,21.5968
2021,1036.35,16.52%,29.61,20.727,25.1685
2022,1237.16,19.24%,35.34742857,24.7432,30.04531429
2023,1276.16,3.15%,36.46171429,25.5232,30.99245714
2024,1220.39,-4.37%,34.86828571,24.4078,29.63804286